die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
imh,SCN,SCN_PKG_IMH_SRH_PKG_INF_F1,ATSPEED_GROUP24_VMIN_K_SRHPKGINFF1_SSN_INF_VMIN_F1_X,f1,inf,scnimhpkg_imh_srhpkginff1_ssn_edt_group24_x_trans_ph1_x_normal_main_list,kill,group24,atspeed_edt,ph1,6
imh,SCN,SCN_PKG_IMH_CHK_PKG_INF_F1,ATSPEED_GROUP24_VMIN_K_CHKPKGINFF1_SSN_INF_VMIN_F1_X,f1,inf,scnimhpkg_imh_chkpkginff1_ssn_edt_group24_x_trans_ph1_x_normal_main_list,kill,group24,atspeed_edt,ph1,55
imh,SCN,SCN_PKG_IMH_VMAX_PKG_INF_F1,ATSPEED_GROUP24_VMIN_K_VMAXPKGINFF1_SSN_INF_VMAX_F1_X,f1,inf,scnimhpkg_imh_vmaxpkginff1_ssn_edt_group24_x_trans_ph1_x_normal_main_list,kill,group24,atspeed_edt,ph1,55
