die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV0DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav0dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav0dualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV0DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav0dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav0dualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV0DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav0dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav0dualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARPMHDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parpmhdualcoreall_x_atpg_stack_x_normal_main_list,kill,parpmhdualcorec0,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARPMHDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parpmhdualcoreall_x_atpg_stack_x_normal_main_list,kill,parpmhdualcorec0,atpg,ph2,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARPMHDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parpmhdualcoreall_x_atpg_stack_x_normal_main_list,kill,parpmhdualcorec0,atpg,ph3,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARPMHDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parpmhdualcoreall_x_atpg_stack_x_normal_main_list,kill,parpmhdualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARPMHDUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parpmhdualcoreall_x_atpg_stack_x_normal_main_list,kill,parpmhdualcorec0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV1DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav1dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav1dualcorec0,atpg,ph1,5
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARFMAV1DUALCOREALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parfmav1dualcoreall_x_atpg_stack_x_normal_main_list,kill,parfmav1dualcorec0,atpg,ph2,1
